State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Montana,201808,64.5,62,64.1,0.4,49.2,70,48.9,0.3,79.8,68,79.2,0.6
Nebraska,201808,70.8,33,72.3,-1.5,58.3,45,58.9,-0.6,83.3,30,85.8,-2.5
Nevada,201808,73.2,116,70.1,3.1,57.1,113,54,3.1,89.4,109,86.3,3.1
New Hampshire,201808,69.3,124,64.1,5.2,59.1,124,52.3,6.8,79.4,113,75.8,3.6
New Jersey,201808,76.8,123,71.6,5.2,67.7,124,61.1,6.6,85.9,119,82.1,3.8
New Mexico,201808,73.1,109,70.9,2.2,58.6,110,56.9,1.7,87.6,107,84.9,2.7
New York,201808,70.5,121,66,4.5,61.2,124,55,6.2,79.7,104,77.1,2.6
North Carolina,201808,77.2,100,75.6,1.6,67.8,115,65.2,2.6,86.7,77,86,0.7
North Dakota,201808,67.6,70,66.9,0.7,53.1,61,53,0.1,82.2,78,80.9,1.3
Ohio,201808,73.7,108,70.9,2.8,64.2,120,59.4,4.8,83.1,70,82.4,0.7
Oklahoma,201808,79.9,45,80.9,-1,68.8,71,68.4,0.4,91,27,93.4,-2.4
Oregon,201808,66.4,103,63.9,2.5,50.7,104,48.3,2.4,82.2,101,79.5,2.7
Pennsylvania,201808,72,119,68.4,3.6,62.7,124,57,5.7,81.4,89,79.8,1.6
Rhode Island,201808,75.2,124,68.7,6.5,66.7,124,59.1,7.6,83.7,122,78.2,5.5
South Carolina,201808,79.9,96,78.7,1.2,70,103,68.2,1.8,89.7,80,89.2,0.5
South Dakota,201808,69.9,47,70.5,-0.6,56.4,58,56.5,-0.1,83.4,45,84.5,-1.1
Tennessee,201808,76.5,74,76,0.5,66.4,103,64.4,2,86.5,37,87.6,-1.1
Texas,201808,83.1,94,81.9,1.2,71.1,112,69.5,1.6,95,72,94.2,0.8
Utah,201808,72.4,117,69.4,3,57.9,117,55.1,2.8,86.9,114,83.7,3.2
Vermont,201808,68.4,123,63.4,5,58.2,124,51.8,6.4,78.6,113,75.1,3.5
Virginia,201808,75.2,104,73.1,2.1,65.5,116,62.4,3.1,84.9,83,83.8,1.1
